Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
237,"472,474",¡Es un placer! ¡No puedo creer que de verdad!,te vas a la mierda,0.3715,72.17,0.54,4.14,15.01,8.14
238,"474,476",¡Quiero conocerte para siempre!,te voy a sacar al concha de tu madre,0.3546,4.21,0.27,0.22,0.02,95.28
239,"476,478",¡Eres una maldita demente!,te voy a maltratar,0.3050,87.69,0.09,0.41,8.62,3.19
240,"478,480",¡Y además estás!,Por favor ya no más,0.4177,87.78,0.11,3.04,5.79,3.29
241,"480,482",¡Ganando! ¡Jesús!,te mataré,0.4531,85.16,0.35,1.83,4.05,8.61
242,"482,484",¡Es una broma!,te voy a sacar al concha de tu madre,0.3882,41.39,0.33,0.91,0.21,57.16
243,"484,486",यो किडिया का सार में!,No haré nada solo para,0.6627,87.28,0.38,1.0,2.4,8.94
244,"486,488",¡Yo ya perdí!,hijo de la perra,0.3527,84.23,0.16,0.14,0.25,15.22
245,"488,490",¡No me amabas tanto como yo te amaba!,te voy a sacar al concha de tu madre,0.4543,87.43,0.06,0.06,0.33,12.12
246,"490,492",,,,8.63,0.13,62.74,28.14,0.35
247,"492,494",¿Eso qué tiene que ver con Los Ángeles?,¿Por qué me haces esto?,0.4402,77.5,0.07,1.53,20.17,0.72
248,"494,496",Thank you for watching.,Tengo miedo,0.7773,5.62,0.02,42.9,51.44,0.02
249,"496,498",¿Qué? ¿Estás tan...?,¿Por qué me haces esto?,0.4237,95.3,0.05,0.17,0.82,3.66
250,"498,500",¡Inmerso en tu propio egoísmo!,voy a asesinarte,0.5014,94.67,0.03,0.07,1.18,4.05
251,"500,502",¡No! ¡Que ya ni siquiera puedes identificar!,Eres quien está mal aquí,0.4364,91.1,0.11,0.07,0.55,8.18
252,"502,504",como egoísmo.,debe ser asesinado,0.4962,60.41,0.43,2.63,0.47,36.06
253,"504,506",¡Eres tan hijo de puta!,hijo de puta,0.1424,36.33,1.58,1.38,0.32,60.39
254,"506,508",Cada día me despierto y espero que...,No voy a dejar que me destruyas,0.2394,92.91,0.04,0.15,2.73,4.17
255,"508,510",Sejam mortos! Mortos!,eres una basura,0.4633,88.48,0.05,0.58,8.31,2.57
256,"510,512",¡Pudiera garantizar que la gente estuviera bien!,eres una prostituta,0.4443,87.38,0.02,0.09,10.07,2.44
257,"512,514",¡Desearía que enfermaras,Eres quien está mal aquí,0.4046,86.28,0.04,0.41,11.11,2.16
258,"514,516",te atropellaron en auto y murieras,atorrante,0.4385,89.76,0.04,0.34,3.84,6.02
259,"516,518",안녕!,hoyo,0.7115,16.46,0.13,51.22,31.75,0.42
260,"518,520","Okay, bye. Bye. Bye. ",Tengo miedo,0.7535,15.05,0.25,44.54,39.74,0.41
261,"520,522",Hmm.,gay,0.7300,37.26,0.1,35.43,27.03,0.17
262,"522,524",,,,43.72,0.08,11.34,44.51,0.34
263,"524,526",,,,8.57,3.0,86.32,1.88,0.23
264,"526,528",Thank you for watching!,No quiero problemas,0.7926,69.34,1.55,18.85,4.63,5.63
265,"528,530",you,gay,0.6730,77.56,0.21,5.89,15.77,0.57
266,"530,532",FUS RO DAH!,nos drogaremos,0.6704,26.94,0.05,33.5,39.37,0.14
267,"532,534",Thank you. Peace.,No quiero problemas,0.7816,66.59,1.31,16.86,14.71,0.53
268,"534,536",oh,orto,0.7404,78.11,0.27,7.98,12.41,1.23
269,"536,538",ㅆ노무ㅅ끼야!!!,aweonao,0.7084,78.26,0.14,0.97,1.11,19.52
270,"538,540",SUBSCRIBE!!,aweonao,0.7692,51.76,0.03,5.58,42.51,0.12
