Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
236,"470,472",¡Gracias por eso!,Por favor para,0.3408,72.56,0.01,0.17,25.76,1.5
237,"472,474",¡Es un placer! ¡No puedo creer que de verdad!,te vas a la mierda,0.3715,4.82,0.06,5.1,85.99,4.03
238,"474,476",¡Quiero conocerte para siempre!,te voy a sacar al concha de tu madre,0.3546,0.14,0.02,0.02,0.0,99.82
239,"476,478",¡Eres una maldita demente!,te voy a maltratar,0.3050,78.22,0.08,2.1,17.62,1.98
240,"478,480",¡Y además estás!,Por favor ya no más,0.4177,57.4,0.03,4.57,37.54,0.46
241,"480,482",¡Ganando! ¡Jesús!,te mataré,0.4531,89.97,0.06,2.64,6.19,1.15
242,"482,484",¡Es una broma!,te voy a sacar al concha de tu madre,0.3882,72.82,1.5,0.59,0.69,24.4
243,"484,486",यो किडिया का सार में!,No haré nada solo para,0.6627,90.64,0.16,1.26,2.66,5.28
244,"486,488",¡Yo ya perdí!,hijo de la perra,0.3527,82.49,0.57,0.21,0.11,16.61
245,"488,490",¡No me amabas tanto como yo te amaba!,te voy a sacar al concha de tu madre,0.4543,90.14,0.36,0.14,0.57,8.79
246,"490,492",Ha! Ha! Ha! Ha! ,nojo,0.7403,0.09,0.02,99.86,0.03,0.0
247,"492,494",¿Eso qué tiene que ver con Los Ángeles?,¿Por qué me haces esto?,0.4402,66.05,0.05,11.76,22.0,0.14
248,"494,496",Thank you for watching.,Tengo miedo,0.7773,0.78,0.0,93.95,5.26,0.0
249,"496,498",¿Qué? ¿Estás tan...?,¿Por qué me haces esto?,0.4237,99.13,0.06,0.04,0.02,0.75
250,"498,500",¡Inmerso en tu propio egoísmo!,voy a asesinarte,0.5014,98.9,0.02,0.04,0.13,0.91
251,"500,502",¡No! ¡Que ya ni siquiera puedes identificar!,Eres quien está mal aquí,0.4364,90.94,1.4,0.52,0.76,6.38
252,"502,504",como egoísmo.,debe ser asesinado,0.4962,66.1,2.05,1.62,0.39,29.83
253,"504,506",¡Eres tan hijo de puta!,hijo de puta,0.1424,77.47,1.33,0.81,0.57,19.82
254,"506,508",Cada día me despierto y espero que...,No voy a dejar que me destruyas,0.2394,88.53,0.03,0.67,7.83,2.94
255,"508,510",Sejam mortos! Mortos!,eres una basura,0.4633,97.14,0.04,0.11,0.57,2.13
256,"510,512",¡Pudiera garantizar que la gente estuviera bien!,eres una prostituta,0.4443,97.63,0.0,0.09,2.04,0.23
257,"512,514",¡Desearía que enfermaras,Eres quien está mal aquí,0.4046,32.63,0.0,0.89,66.02,0.46
258,"514,516",te atropellaron en auto y murieras,atorrante,0.4385,82.46,0.04,1.08,13.55,2.87
259,"516,518",안녕!,hoyo,0.7115,4.16,0.03,90.31,5.44,0.06
260,"518,520",Thanks for watching!,No quiero problemas,0.7988,2.44,0.03,87.88,9.6,0.05
261,"520,522",Hmm.,gay,0.7300,81.32,0.03,11.51,6.93,0.21
262,"522,524",,,,29.27,0.01,6.28,64.25,0.2
263,"524,526",,,,0.13,3.64,96.19,0.03,0.01
264,"526,528",Thank you for watching!,No quiero problemas,0.7926,78.48,3.89,16.47,0.31,0.86
265,"528,530",It's so good!,bestia,0.7730,98.38,0.18,0.44,0.36,0.63
266,"530,532",FUS RO DAH!,nos drogaremos,0.6704,4.78,0.04,94.41,0.77,0.0
267,"532,534",Thank you. Peace.,No quiero problemas,0.7816,95.98,0.08,2.43,1.38,0.13
268,"534,536",oh,orto,0.7404,99.01,0.16,0.58,0.06,0.18
269,"536,538",ㅆ노무ㅅ끼야!!!,hijo de la perra,0.7199,45.87,0.42,4.59,1.38,47.74
270,"538,540",Oh,orto,0.7404,98.82,0.01,0.52,0.53,0.11
